position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the House of Representatives of Burma,Than Htay,Q7710081,2011-01-31,2011-03-30,male,1954-11-12,,Than Htay USDP.jpg,Than Htay
Member of the House of Representatives of Burma,Phyu Phyu Thin,Q13861255,2012-05-02,,female,1972-12-23,,Phyu Phyu Thin.JPG,Phyu Phyu Thin
Member of the House of Nationalities of Burma,Shila Nang Dong,Q56599629,2016-02-03,2018-01,female,1954-10-06,,,Shila Nang Dong
