position,person,personID,start,end,gender,DOB,DOD,image,enwiki
ambassador to Canada,Kyaw Myo Htut,Q92203114,2016,,male,1957-12-09,,,
ambassador to Germany,Win Aung,Q454491,1990,2009-11-04,male,1944-02-28,2009-11-04,,Win Aung (minister)
ambassador to the United Kingdom,Kyaw Zwar Minn,Q96912035,2013,,male,1958-06-02,,Kyaw Zwar Minn.jpg,Kyaw Zwar Minn
